WKT,transportation.sde.BMTC_LAND.objectid,transportation.sde.BMTC_LAND.kgiscode,transportation.sde.BMTC_LAND.departmentcode,transportation.sde.BMTC_LAND.kgisbmtclandid,transportation.sde.BMTC_LAND.kgisbmtclandname,transportation.sde.BMTC_LAND.kgiswardid,transportation.sde.BMTC_LAND.kgisvillageid,transportation.sde.BMTCLAND_TBL.objectid,transportation.sde.BMTCLAND_TBL.kgisbmtclandid,transportation.sde.BMTCLAND_TBL.name,transportation.sde.BMTCLAND_TBL.area_gis,transportation.sde.BMTCLAND_TBL.acre_rec,transportation.sde.BMTCLAND_TBL.gunte_rec,transportation.sde.BMTCLAND_TBL.area_sq_m,transportation.sde.BMTCLAND_TBL.survey_no,transportation.sde.BMTCLAND_TBL.hobli,transportation.sde.BMTCLAND_TBL.taluk,transportation.sde.BMTCLAND_TBL.district,transportation.sde.BMTCLAND_TBL.status,transportation.sde.BMTCLAND_TBL.category,transportation.sde.BMTCLAND_TBL.photo
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.5333845179145 12.9888065261067,77.5340257880765 12.9885518492069,77.5338508914766 12.9880565197883,77.5332474598962 12.9881764445636,77.5333845179145 12.9888065261067))))","1",,"1","1",Basaveshwaranagar_Bus_Stand,,,"1","1",Basaveshwaranagar_Bus_Stand,1.13,"1",0.13,4553.73,CA,Kasaba,Bangalore North,Bangalore Urban,Bus Stand,Bus Stand,DSC_no_image.jpg
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.5216084296942 12.993154317038,77.5221128756203 12.9930067897904,77.5225078657297 12.9928830581807,77.5224055489956 12.9927093579194,77.5222080540424 12.9924380990731,77.5221676030741 12.992397647413,77.5221104957342 12.992361957112,77.5220462503624 12.9923381617564,77.5219605894927 12.9923334028555,77.521870169783 12.9923215056648,77.5218106834938 12.9923119878007,77.5217440583838 12.992288192883,77.5216869517422 12.9922429834035,77.5216512602202 12.9921953940173,77.5216036704361 12.9921359074769,77.5214656615826 12.9918241978968,77.5213538274026 12.9915981496154,77.5211872643907 12.9912340919495,77.521120639421 12.9910984622197,77.5209778722335 12.9908509978461,77.5209160070803 12.990753440566,77.5208707962681 12.9906796774118,77.5208303459195 12.9906059141217,77.5207684796595 12.9904583870969,77.5206733022704 12.9904940793872,77.5209969079454 12.9914339662544,77.521222957274 12.9921168720078,77.5215013544921 12.992878299169,77.5216084296942 12.993154317038))))","2",,"2","2",Sriganda_kavalu_Depot_31,,,"2","2",Sriganda_kavalu_Depot_31,3.42,"4",0,13835.71,60 & 68,Yeshwanthpura,Bangalore North,Bangalore Urban,Depot 31,Depot,DSC0031_Srigandhada_Kavalu_Depot.JPG
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.524577639737 13.0104915449245,77.5246119044561 13.0106814267375,77.5246732939402 13.0106757155126,77.5247446789768 13.0106728604422,77.5248631755569 13.0106785715776,77.5249374139457 13.0106857100421,77.5249859551342 13.0106914199887,77.5250573394181 13.0107014140841,77.5251073081958 13.0107099804541,77.525232943761 13.0107014138418,77.5254171139455 13.0106842814774,77.5253457298837 13.0103045198542,77.524577639737 13.0104915449245))))","3",,"3","3",Laggere_Bus_Stand,,,"3","3",Laggere_Bus_Stand,0.69,"0",0.36000001,2811.13,"92",Yeshwanthpura,Bangalore North,Bangalore Urban,Bus Stand,Bus Stand,DSC0017_Laggere_BS.jpg
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.5260003195137 13.0153481444955,77.5260050793486 13.0154885325943,77.5261121542404 13.0154802046932,77.5260871710461 13.0152636735469,77.5260407707997 13.0152886576725,77.5260003195137 13.0153481444955))))","4",,"4","4",Lakshmidevinagara_Bus_Stand,,,"4","4",Lakshmidevinagara_Bus_Stand,0.06,"0",0.08,226.44,11 & 12,Yeshwanthpura,Bangalore North,Bangalore Urban,Bus Stand,Bus Stand,DSC0018_Lakshmidevinagar_BS.JPG
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.5356094249681 13.0118257328045,77.5358606872874 13.0118271764155,77.5359463483621 13.0118271763417,77.5360567554315 13.0113855486722,77.5361176695334 13.011153313353,77.5357578950248 13.0109344031291,77.5357007880098 13.0109857987944,77.5356627159379 13.0110790739177,77.5356208372226 13.0112603896506,77.5356056091536 13.0117453233404,77.5356094249681 13.0118257328045))))","5",,"5","5",Nandini_Layout_Bus_Stand,,,"5","5",Nandini_Layout_Bus_Stand,0.99,"0",0.38999999,4024.73,CA Site,Kasaba,Bangalore North,Bangalore Urban,Bus Stand,Bus Stand,DSC_no_image.jpg
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.5660681827095 13.0366095600554,77.5664274812464 13.0362716771638,77.5668058163121 13.0359123786744,77.5662466424778 13.0359433115177,77.5659492096813 13.0359647269551,77.5659730037112 13.0361907753661,77.5659920400231 13.0363049895696,77.5660253523546 13.0364453770357,77.5660681827095 13.0366095600554))))","6",,"6","6",Chikkamaranahalli_Bus_Stand,,,"6","6",Chikkamaranahalli_Bus_Stand,0.86,"0",0.34999999,3465.72,CA Site 20,Kasaba,Bangalore North,Bangalore Urban,Bus Stand,Bus Stand,DSC_no_image.jpg
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.5924813892516 13.044457657608,77.5928882774725 13.0443934118462,77.5932832684408 13.0443244070971,77.5939637939578 13.0441863991966,77.5947014271855 13.0440460110059,77.5945443823824 13.0432726863422,77.5943587838342 13.0424660481504,77.594325472168 13.0423256601312,77.5938281638974 13.0424351153858,77.5938019906629 13.0423090039858,77.5937926505932 13.0422646271121,77.5936260891705 13.0424311889933,77.5932542982663 13.0431331302252,77.5927873289542 13.0439302493186,77.5924813892516 13.044457657608))))","7",,"7","7",Hebbal_Depot_28,,,"7","7",Hebbal_Depot_28,7.84,"7",0.34,31709.94,"82 / 1,4,7,2,88,89,90",Yeshwanthpura,Bangalore North,Bangalore Urban,Depot 28,Depot,DSC_no_image.jpg
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.5794020462079 13.095470332194,77.5791974335222 13.0952496720343,77.5789418797908 13.0955237856649,77.5787619924653 13.0957165221749,77.5787320109696 13.0957550691173,77.5786759846764 13.0958155455342,77.5787492422748 13.0958701383754,77.5787449894057 13.0959059651845,77.5788687218955 13.0960177990053,77.5792259872952 13.0956437106438,77.5794020462079 13.095470332194))))","8",,"8","8",Yelahanka_Satellite_Bus_Stand,,,"8","8",Yelahanka_Satellite_Bus_Stand,0.66,"0",0.25,2660.3,CA Site,Yelahanka,Bangalore North (Apara) Yelahanka,Bangalore Urban,Bus Stand,Bus Stand,DSC0032_ye s 5th phase_BS.JPG
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.5722244238545 13.1060803443155,77.5724795014567 13.1060498863449,77.5727421941388 13.106019429777,77.5727745550066 13.105834782932,77.5728259511011 13.1053170126006,77.5721863523389 13.1053474696938,77.5722244238545 13.1060803443155))))","9",,"9","9",Yelahanka_5th_Phase_Bus_Stand,,,"9","9",Yelahanka_5th_Phase_Bus_Stand,1.24,"1",0.02,5011.74,CA Site,Yelahanka,Bangalore North (Apara) Yelahanka,Bangalore Urban,Bus Stand,Bus Stand,DSC0033_ye - 5th phase_BS.JPG
"MULTISURFACE (CURVEPOLYGON (COMPOUNDCURVE ((77.5766302336082 13.1106058407343,77.5783648602584 13.1108342686355,77.5790929752566 13.1110519893583,77.5797068764652 13.1112411569235,77.5798520237492 13.1107182701628,77.5797300763469 13.1107152953248,77.579685460706 13.1103167359647,77.5796735643903 13.1095939750002,77.5796884358811 13.1092727474434,77.5792660815351 13.1092638243493,77.5782488611656 13.1093857717802,77.577478512129 13.1094125412764,77.5767319559253 13.1094006436023,77.5766784165639 13.1100728413889,77.5766302336082 13.1106058407343))))","10",,"10","10",Yelahanka_Depot_11_&_30,,,"10","10",Yelahanka_Depot_11_&_30,13.53,"13",0.2,54739.36," 69",Yelahanka,Bangalore North (Apara) Yelahanka,Bangalore Urban,Depot 11 & 30,Depot,DSC_no_image.jpg
